Time,AX,AY,AZ,GX,GY,GZ,T
0.4813,0.1480,-0.1130,1.1860,-3.5420,17.9540,-40.1830,35.1200
0.4886,0.1590,-0.1160,1.1960,-4.3970,18.1370,-40.0000,34.9800
0.5004,0.1600,-0.1260,1.2030,-2.4430,20.3970,-39.9850,34.9800
0.5076,0.1560,-0.1300,1.2010,-2.3210,21.6640,-37.9850,35.0200
0.5193,0.1450,-0.1360,1.1880,-2.1680,23.4660,-36.9620,35.0700
0.5315,0.1140,-0.1320,1.1760,-3.2060,23.8780,-36.4730,35.0700
0.5384,0.1060,-0.1320,1.1790,-3.3130,22.8090,-35.6640,35.0200
0.5506,0.0990,-0.1310,1.1790,-0.6410,22.6720,-36.2140,34.9800
0.5580,0.1170,-0.1200,1.1690,-1.4200,23.1600,-33.7860,35.0700
0.5696,0.1210,-0.1060,1.1770,-2.5500,24.5190,-32.7480,35.1200
0.5751,0.1310,-0.0980,1.1700,-2.1980,24.3970,-33.7860,35.0700
0.5888,0.1280,-0.0790,1.1650,-0.5500,25.6790,-35.0990,35.0700
0.6009,0.1100,-0.0950,1.1770,-0.4730,26.4430,-35.5110,35.1200
0.6080,0.0920,-0.1100,1.1650,-4.0310,27.2060,-34.9470,35.1700
0.6198,0.0960,-0.1120,1.1550,-3.2520,26.4730,-35.6030,34.9800
0.6268,0.0920,-0.1360,1.1650,-1.4200,25.6790,-36.3820,35.0200
0.6391,0.1220,-0.1540,1.1600,-0.6410,24.4730,-36.9010,35.0700
0.6508,0.1240,-0.1480,1.1650,-1.6640,24.6870,-35.1300,34.9800
0.6578,0.1560,-0.1420,1.1580,-0.7180,24.5950,-35.5420,35.0700
0.6701,0.1560,-0.0980,1.2010,-2.2750,29.9080,-34.8550,34.9800
0.6769,0.1480,-0.0840,1.1990,-1.0080,27.6180,-35.5110,35.1200
0.6891,0.1260,-0.0900,1.1890,-2.8240,30.4890,-36.3360,35.0200
0.7011,0.1140,-0.1000,1.1650,-7.4350,27.4050,-36.7180,35.0700
0.7078,0.1120,-0.1080,1.1590,0.4730,26.4270,-37.4350,34.9300
0.7203,0.1120,-0.1160,1.1550,-2.5500,25.4660,-36.7790,35.0700
0.7272,0.1080,-0.1330,1.1610,-2.9620,23.6790,-35.6180,35.0700
0.7392,0.1170,-0.1540,1.1560,2.4890,22.3970,-35.5110,35.0200
0.7512,0.1270,-0.1570,1.1530,0.1370,22.5340,-32.6110,35.0200
0.7584,0.1280,-0.1380,1.1550,-0.4890,21.8780,-32.0460,34.9800
0.7707,0.1300,-0.1130,1.1720,-3.7250,22.7940,-29.8020,35.1200
0.7773,0.1330,-0.0620,1.1750,-1.5420,20.4580,-31.5730,35.0700
0.7898,0.1440,-0.0620,1.1670,0.4430,21.1450,-36.5340,35.0700
0.7956,0.1410,-0.0750,1.1910,-1.0230,21.6950,-38.2290,35.0200
0.8085,0.1290,-0.0930,1.1810,0.4270,22.0150,-39.1600,34.9800
0.8209,0.1330,-0.1100,1.1740,-2.7330,21.6340,-37.9540,35.0700
0.8278,0.1190,-0.1030,1.1840,-3.8780,21.9240,-36.0610,35.0200
0.8400,0.1110,-0.1280,1.1770,-1.5570,21.1760,-37.2210,34.9800
0.8469,0.1070,-0.1280,1.1930,-2.6410,22.1530,-36.0760,35.0700
0.8591,0.0930,-0.1280,1.1850,-1.3130,21.8320,-36.7480,35.0200
0.8712,0.0800,-0.1360,1.1590,1.8780,20.2140,-37.8320,34.9800
0.8779,0.0800,-0.1450,1.1550,1.8930,18.7790,-38.8850,35.0700
0.8902,0.0900,-0.1400,1.1670,0.7180,17.2210,-38.6260,35.1200
0.8974,0.0970,-0.1090,1.1570,-0.3510,18.4580,-38.6110,35.1700
0.9093,0.1070,-0.1090,1.1960,1.1450,18.7020,-38.5950,35.1200
0.9217,0.1130,-0.1190,1.1800,-0.7940,20.5040,-35.8630,35.1200
0.9284,0.0990,-0.1320,1.1810,-0.9920,21.1760,-35.0840,35.0700
0.9406,0.0910,-0.1370,1.1610,0.6560,20.8090,-36.7020,35.0200
0.9476,0.0840,-0.1350,1.1540,2.1980,18.2440,-37.4810,34.9300
0.9595,0.1020,-0.1290,1.1670,2.8550,16.7180,-38.3820,35.0700
0.9665,0.1360,-0.1120,1.1850,2.5340,17.0080,-38.1220,35.1200
0.9791,0.1460,-0.0990,1.1730,1.3590,17.7710,-37.2980,34.9300
0.9911,0.1410,-0.0880,1.1720,3.1910,17.8780,-38.5040,35.1700
0.9984,0.1460,-0.0860,1.1580,4.1980,19.8020,-39.7250,35.0200
1.0103,0.1420,-0.0870,1.1540,3.2820,20.2600,-39.7100,35.1200
1.0170,0.1290,-0.0950,1.1590,1.9690,20.4120,-39.5570,35.1700
1.0293,0.1320,-0.0650,1.1410,0.5950,20.6720,-39.3890,35.0200
1.0415,0.1170,-0.0590,1.1380,1.4960,20.8400,-41.8020,34.9300
1.0484,0.1230,-0.0650,1.1330,1.1150,20.1370,-42.7020,35.0700
1.0608,0.1300,-0.0890,1.1630,1.4810,20.1220,-42.9620,35.0200
1.0676,0.1360,-0.0920,1.1620,-0.5190,22.0760,-42.1530,35.0700
1.0798,0.1370,-0.0980,1.1750,-0.2440,23.2060,-41.4810,35.1700
1.0868,0.1200,-0.1060,1.1680,-2.5800,24.2290,-43.0530,35.1200
1.0988,0.0980,-0.1040,1.1830,-5.8020,25.8170,-46.4580,35.0700
1.1109,0.1000,-0.0980,1.1990,-1.8630,25.6030,-43.9390,34.9800
1.1176,0.0920,-0.1150,1.2050,-0.6560,26.4430,-45.0990,35.1200
1.1300,0.0760,-0.0780,1.1780,3.6340,27.4050,-44.8240,35.1700
1.1370,0.0810,-0.0930,1.1880,2.1220,26.2600,-42.8550,35.0700
1.1491,0.0780,-0.1120,1.1690,1.4810,24.8400,-43.7400,35.0200
1.1614,0.0910,-0.1180,1.1930,-0.2140,23.1300,-42.4580,35.0700
