Time,AX,AY,AZ,GX,GY,GZ,T
0.0432,0.0290,-0.0700,1.1880,-4.5650,17.8020,-45.7710,33.9400
0.0433,0.0310,-0.0660,1.1880,-3.1300,18.6720,-45.2520,33.8900
0.0435,0.0300,-0.0740,1.2110,2.2600,18.9160,-44.4120,34.0800
0.0436,0.0380,-0.0780,1.1980,3.0840,20.1370,-44.5190,33.9400
0.0437,0.0520,-0.0800,1.1790,-1.5420,20.1370,-45.4500,33.8900
0.0439,0.0640,-0.0780,1.1510,-5.9240,20.1220,-45.2980,33.9400
0.0441,0.0630,-0.0710,1.1850,-4.7790,19.0840,-46.4430,33.9400
0.0443,0.0700,-0.0520,1.2020,0.4890,19.0080,-45.2370,33.8900
0.0445,0.0580,-0.0570,1.2210,2.4270,19.8630,-44.6870,33.8500
0.0447,0.0570,-0.0740,1.2190,0.0760,22.3360,-44.6720,33.9900
0.0449,0.0610,-0.0640,1.1980,-2.8550,24.7630,-47.6030,33.9900
0.0451,0.0660,-0.0580,1.1830,1.5570,25.6340,-45.9240,33.9400
0.0453,0.0490,-0.0800,1.1580,2.9310,25.0690,-46.8550,33.9900
0.0455,0.0360,-0.0680,1.1490,1.3130,22.5950,-45.7710,33.9400
0.0458,0.0730,-0.0560,1.1870,-6.3510,19.5110,-44.4430,33.8500
0.0460,0.0830,-0.0520,1.1700,-6.3210,20.2600,-44.2290,33.9400
0.0462,0.0900,-0.0540,1.1640,-4.0310,20.0310,-43.0530,33.9900
0.0464,0.0830,-0.0790,1.1790,-4.8240,20.2750,-43.6340,33.9400
0.0466,0.0880,-0.0440,1.1870,-6.9770,20.5040,-42.8400,33.8900
0.0554,0.0910,-0.0450,1.1860,-7.8630,21.6180,-44.9620,33.9400
0.0675,0.0940,-0.0360,1.1910,-9.0530,22.6260,-48.2900,33.8500
0.0743,0.0870,-0.0380,1.2080,-12.3820,23.6640,-49.8470,33.8900
0.0866,0.0850,-0.0620,1.1980,-11.0840,24.9160,-51.4810,33.8500
0.0932,0.0680,-0.0870,1.1900,-7.5110,24.3210,-51.1760,33.9900
0.1054,0.0690,-0.0960,1.1970,-3.6790,24.0610,-48.0460,33.8900
0.1175,0.0720,-0.0890,1.1980,-0.1980,23.9240,-46.1070,33.9400
0.1244,0.0640,-0.0750,1.1870,-2.7330,23.9850,-44.9470,33.8000
0.1364,0.0670,-0.0420,1.1900,-1.5880,23.6490,-44.2440,33.9400
0.1434,0.0600,-0.0410,1.1730,1.3590,23.5270,-45.7860,33.9400
0.1557,0.0520,-0.0580,1.1690,-0.5500,21.7710,-46.5340,33.8900
0.1625,0.0600,-0.0670,1.1560,-1.0380,21.1450,-48.0310,33.9400
0.1748,0.0600,-0.0620,1.1420,1.0080,19.4050,-47.9390,33.8900
0.1871,0.0510,-0.0790,1.1490,4.3970,17.2060,-46.6870,33.8500
0.1937,0.0450,-0.0890,1.1580,7.2980,11.6950,-43.3890,33.9400
0.2064,0.0660,-0.0730,1.1440,2.1680,13.6030,-42.9160,33.8900
0.2131,0.0640,-0.0700,1.1670,-4.0310,16.5800,-42.9770,33.9400
0.2253,0.0860,-0.0480,1.1850,-4.3820,16.3970,-42.5950,33.9400
0.2374,0.1010,-0.0250,1.1890,-9.2670,18.5650,-45.9240,33.8900
0.2444,0.1060,-0.0170,1.1520,-9.0690,18.4580,-48.6410,33.9400
0.2563,0.1060,-0.0100,1.1530,-6.5040,19.4810,-52.5650,33.8900
0.2635,0.0910,-0.0130,1.1620,-4.0150,17.9240,-52.9310,33.8900
0.2753,0.0780,-0.0220,1.1630,-9.0690,17.7560,-54.6410,33.8500
0.2877,0.0600,-0.0370,1.1720,-11.4350,18.3660,-54.3510,33.9900
0.2946,0.0500,-0.0530,1.1910,-10.3970,18.7790,-53.8170,33.9400
0.3063,0.0390,-0.0820,1.2210,-7.0840,21.0080,-51.8470,33.8900
0.3135,0.0370,-0.0850,1.2260,-7.3130,22.4890,-51.6180,33.8500
0.3254,0.0360,-0.0930,1.2080,-10.5800,24.0920,-51.2820,33.9400
0.3376,0.0450,-0.0920,1.1700,-9.3890,26.3510,-53.1910,33.8900
0.3446,0.0350,-0.0870,1.1500,-15.0690,25.1450,-54.8240,33.9400
0.3563,0.0630,-0.0800,1.1310,-13.6180,22.7480,-56.5500,33.9400
0.3635,0.0520,-0.0910,1.1490,-8.4730,19.2980,-55.4810,33.8900
0.3753,0.0530,-0.0840,1.1910,-5.8780,19.1450,-54.3050,33.9400
0.3877,0.0470,-0.0850,1.2040,-6.4270,18.0150,-52.5800,33.8900
0.3947,0.0580,-0.0920,1.1950,-2.0460,18.1980,-51.8630,33.8900
0.4067,0.0490,-0.0950,1.2030,-1.6030,19.5420,-51.4200,33.8500
0.4135,0.0600,-0.1020,1.1890,-2.1680,20.5190,-50.8550,33.8900
0.4256,0.0680,-0.0770,1.1920,-0.4730,21.1300,-49.1760,33.9400
0.4377,0.0700,-0.0520,1.1860,-0.4430,21.0080,-44.3970,33.8900
0.4446,0.0750,-0.0580,1.1950,-2.2290,21.9850,-49.4200,33.8500
0.4565,0.0770,-0.0370,1.1940,-1.4810,22.4580,-50.7630,33.8500
0.4637,0.0730,-0.0440,1.1700,1.6030,22.8090,-50.5190,33.8900
0.4760,0.0590,-0.0600,1.1540,1.8170,21.7100,-53.4660,33.9400
0.4826,0.0590,-0.0770,1.1610,0.7790,19.9540,-56.1070,33.9400
0.4950,0.0480,-0.0820,1.1830,0.3510,20.5800,-56.1830,33.8900
0.5071,0.0490,-0.0850,1.2280,-6.0000,23.3890,-54.9620,34.0400
0.5142,0.0480,-0.0850,1.2220,-10.2140,27.1760,-53.4960,33.8900
0.5262,0.0490,-0.0730,1.2090,-9.5420,30.8090,-51.7400,33.9900
0.5328,0.0510,-0.0800,1.1630,-3.5110,29.4960,-50.6560,33.9400
0.5450,0.0480,-0.0760,1.1620,1.1600,27.9390,-50.3360,33.8900
0.5572,0.0410,-0.0730,1.1380,4.6410,25.6490,-50.5040,33.9400
0.5644,0.0260,-0.0910,1.1500,5.1910,23.1760,-51.7400,33.9400
0.5766,0.0320,-0.0960,1.1650,3.2820,19.8320,-52.1830,33.9400
0.5832,0.0230,-0.1090,1.1870,1.6180,21.6180,-52.2900,33.8500
0.5957,0.0410,-0.1050,1.2090,1.5420,20.9310,-52.2140,33.9900
0.6029,0.0420,-0.0990,1.2180,-0.3050,24.0310,-50.9010,33.9900
0.6148,0.0530,-0.0910,1.2030,-0.2440,21.4500,-51.6340,33.8500
0.6269,0.0450,-0.0910,1.2150,3.4500,20.2440,-50.9470,33.9900
0.6338,0.0420,-0.1060,1.2130,5.7710,20.5340,-50.9160,33.9400
0.6463,0.0420,-0.1120,1.2180,4.2900,22.0460,-50.3970,33.9400
0.6532,0.0500,-0.0950,1.2130,2.0460,23.8930,-48.4580,33.8900
0.6652,0.0500,-0.0630,1.1900,1.0230,24.9770,-48.7480,33.8500
0.6777,0.0610,-0.0580,1.1770,-0.5950,24.6410,-49.4050,33.8900
0.6845,0.0620,-0.0330,1.1540,-0.4430,24.6560,-49.2060,33.8900
0.6966,0.0630,-0.0340,1.1170,5.3590,21.5270,-50.4120,33.9400
0.7032,0.0460,-0.0460,1.1270,8.0920,18.2750,-51.6030,33.8900
0.7155,0.0400,-0.0620,1.1390,4.6260,14.7630,-51.2520,33.8500
0.7226,0.0300,-0.0930,1.1640,4.0610,13.0530,-50.4730,33.9400
0.7347,0.0320,-0.0970,1.1880,-2.9010,15.2980,-50.0000,33.8900
0.7471,0.0400,-0.0990,1.2060,-6.8850,18.4120,-49.5270,33.9400
0.7541,0.0440,-0.0730,1.2370,-8.3970,20.7940,-50.4120,33.9900
0.7663,0.0400,-0.0530,1.2040,-2.7330,21.2980,-48.5500,33.9400
0.7731,0.0440,-0.0460,1.1630,1.4350,19.8780,-49.8170,33.9400
0.7853,0.0230,-0.0420,1.1560,1.1600,21.1450,-51.8470,33.8900
0.7973,0.0320,-0.0470,1.1480,-8.4890,12.9470,-53.8470,33.8500
0.8043,0.0560,-0.0290,1.1570,-1.6790,10.2600,-53.2520,33.9400
0.8164,0.0540,-0.0280,1.1900,-8.3660,11.6180,-56.6870,33.9900
0.8230,0.0540,-0.0470,1.1920,-10.6560,12.8700,-56.6410,33.9400
0.8355,0.0470,-0.0750,1.2040,-10.8240,13.6180,-56.9310,33.8900
0.8473,0.0400,-0.0980,1.1910,-9.7100,14.2900,-54.7180,33.9400
0.8543,0.0380,-0.1130,1.1690,-5.5110,15.1150,-52.3210,33.9400
0.8663,0.0410,-0.1150,1.1900,-9.4500,15.6180,-50.3970,33.8900
0.8732,0.0460,-0.0880,1.1880,-11.1760,19.8930,-46.9470,34.0400
0.8855,0.0370,-0.1110,1.1820,-8.5800,20.1680,-43.4810,33.9400
0.8974,0.0340,-0.1070,1.1920,-4.0760,18.4430,-46.0000,33.9400
0.9044,0.0330,-0.0980,1.1740,-3.0530,20.2140,-45.8930,33.9400
0.9165,0.0420,-0.0840,1.1550,-8.8550,18.2140,-47.1150,33.9900
0.9236,0.0570,-0.0710,1.1290,-11.1910,17.9690,-47.6180,33.9400
0.9354,0.0330,-0.0890,1.1340,-8.3970,12.9770,-44.0760,34.0400
0.9475,0.0680,-0.0700,1.1360,-1.1450,10.7630,-42.2900,33.8900
0.9545,0.0630,-0.0930,1.1450,-0.8550,8.3210,-40.0310,33.9400
0.9666,0.0830,-0.0850,1.1460,-2.0610,10.7330,-39.9240,33.8900
